prompt_tokens,completion_tokens,total_tokens
2238,1362,3600
3022,98,3120
2238,1362,3600
3022,102,3124
2238,1362,3600
3022,102,3124
2238,1353,3591
2238,276,2514
3022,98,3120
2238,1362,3600
3022,102,3124
2238,1362,3600
2238,1362,3600
2238,1362,3600
2238,1326,3564
3022,98,3120
3022,102,3124
3022,102,3124
2238,1362,3600
3022,102,3124
2238,820,3058
3022,98,3120
3394,1362,4756
4178,98,4276
3394,1362,4756
4178,102,4280
3394,1362,4756
4178,102,4280
3394,1362,4756
4178,102,4280
3394,1362,4756
4178,102,4280
3394,1362,4756
3394,1362,4756
4178,102,4280
4178,102,4280
3394,1362,4756
3394,1362,4756
4178,98,4276
4178,102,4280
3394,1362,4756
4178,102,4280
4550,1362,5912
5334,102,5436
4550,1362,5912
5334,98,5432
4550,1362,5912
4550,272,4822
5334,102,5436
4550,1362,5912
5334,98,5432
4550,1362,5912
5334,102,5436
4550,1362,5912
4550,1362,5912
4550,1362,5912
4550,1362,5912
5334,102,5436
4550,1362,5912
5334,102,5436
5334,98,5432
5334,98,5432
5334,102,5436
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,102,6592
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,98,6588
5706,1362,7068
5706,1362,7068
5706,1362,7068
5706,1362,7068
5706,1362,7068
6490,102,6592
6490,102,6592
6490,98,6588
6490,98,6588
6490,98,6588
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,102,7748
6862,1362,8224
7646,98,7744
6862,1362,8224
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,102,7748
7646,102,7748
6862,1362,8224
7646,102,7748
8018,1362,9380
8802,102,8904
8018,1362,9380
8802,98,8900
8018,1362,9380
8802,98,8900
8018,1362,9380
8802,102,8904
8018,1362,9380
8802,98,8900
8018,1362,9380
8018,1362,9380
8802,98,8900
8018,1362,9380
8018,1362,9380
8802,98,8900
8018,1362,9380
8802,102,8904
8802,98,8900
8018,1362,9380
8018,820,8838
8018,276,8294
8802,98,8900
9174,1362,10536
9174,276,9450
9958,98,10056
9174,1362,10536
9958,98,10056
9174,1362,10536
9958,98,10056
9174,1362,10536
9958,102,10060
9174,1362,10536
9958,98,10056
9174,1362,10536
9174,1362,10536
9174,1362,10536
9958,102,10060
9174,1362,10536
9174,1362,10536
9958,98,10056
9958,102,10060
9958,98,10056
9958,102,10060
10330,1362,11692
10330,276,10606
11114,102,11216
10330,1362,11692
11114,98,11212
10330,1362,11692
11114,98,11212
10330,1362,11692
11114,98,11212
10330,1362,11692
10330,549,10879
10330,549,10879
11114,98,11212
10330,1362,11692
10330,1362,11692
11114,102,11216
10330,1362,11692
11114,98,11212
10330,1362,11692
11114,98,11212
10330,1362,11692
10330,549,10879
11114,98,11212
10330,1091,11421
11114,98,11212
11486,1362,12848
11486,549,12035
11486,276,11762
12270,98,12368
11486,1362,12848
11486,549,12035
11486,549,12035
12270,98,12368
11486,1362,12848
12270,102,12372
11486,1362,12848
12270,98,12368
11486,1362,12848
12270,102,12372
11486,1362,12848
11486,1362,12848
11486,1362,12848
11486,1362,12848
12270,98,12368
12270,98,12368
11486,1362,12848
12270,98,12368
11486,272,11758
12270,98,12368
11486,1362,12848
11486,272,11758
12270,98,12368
12642,1362,14004
12642,276,12918
12642,276,12918
13426,102,13528
12642,1362,14004
12642,276,12918
12642,274,12916
12642,276,12918
13426,98,13524
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,1362,14004
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,820,13462
12642,1362,14004
12642,1362,14004
12642,276,12918
13426,98,13524
12642,276,12918
12642,276,12918
12642,820,13462
13426,98,13524
13426,98,13524
13798,1362,15160
13798,276,14074
13798,276,14074
14582,98,14680
13798,1362,15160
13798,820,14618
14582,98,14680
13798,1362,15160
14582,98,14680
13798,1362,15160
13798,820,14618
13798,549,14347
13798,276,14074
14582,98,14680
13798,1362,15160
14582,98,14680
13798,1362,15160
13798,1362,15160
14582,98,14680
13798,1362,15160
13798,1362,15160
14582,98,14680
14582,98,14680
13798,1362,15160
13798,276,14074
14582,98,14680
13798,820,14618
13798,549,14347
14582,98,14680
14954,1362,16316
15738,98,15836
14954,1362,16316
15738,98,15836
14954,1362,16316
14954,549,15503
14954,549,15503
14954,549,15503
15738,98,15836
14954,1362,16316
14954,1091,16045
14954,820,15774
14954,276,15230
14954,272,15226
15738,98,15836
14954,1362,16316
14954,820,15774
14954,549,15503
14954,276,15230
14954,276,15230
15738,102,15840
14954,1362,16316
14954,1362,16316
14954,1362,16316
15738,98,15836
14954,1362,16316
14954,1362,16316
14954,549,15503
14954,820,15774
15738,98,15836
15738,98,15836
14954,1091,16045
14954,1091,16045
14954,272,15226
15738,102,15840
14954,1091,16045
14954,549,15503
14954,276,15230
14954,276,15230
15738,98,15836
