prompt_tokens,completion_tokens,total_tokens
1827,1362,3189
3028,102,3130
2116,1362,3478
3317,98,3415
2405,1362,3767
3606,102,3708
2694,1362,4056
3895,98,3993
2983,1344,4327
2983,272,3255
4184,98,4282
3272,1362,4634
4473,102,4575
3561,1362,4923
4762,98,4860
3850,1362,5212
5051,98,5149
4139,1362,5501
5340,102,5442
4428,1362,5790
5629,98,5727
4717,1362,6079
5918,98,6016
5006,1362,6368
6207,102,6309
5295,1362,6657
6496,98,6594
5584,1362,6946
6785,98,6883
5873,1362,7235
7074,98,7172
6162,1362,7524
7363,98,7461
6451,1362,7813
7652,98,7750
6740,1362,8102
7941,98,8039
7029,1362,8391
8230,102,8332
7318,1362,8680
8519,98,8617
7607,1362,8969
8808,102,8910
7896,1362,9258
9097,98,9195
8185,1362,9547
9386,98,9484
8474,1362,9836
9675,98,9773
8763,1362,10125
9964,98,10062
9052,1362,10414
10253,102,10355
9341,1362,10703
9341,272,9613
9341,272,9613
10542,98,10640
9630,1362,10992
10831,102,10933
9919,1362,11281
11120,98,11218
10208,1362,11570
10208,272,10480
11409,102,11511
10497,1362,11859
11698,102,11800
10786,1362,12148
11987,102,12089
11075,1362,12437
12276,102,12378
11364,1362,12726
12565,98,12663
11653,1362,13015
12854,102,12956
11942,1362,13304
13143,98,13241
12231,1362,13593
13432,102,13534
12520,1362,13882
13721,98,13819
12809,1362,14171
12809,272,13081
14010,98,14108
13098,1362,14460
14299,98,14397
13387,1362,14749
14588,98,14686
13676,1362,15038
14877,98,14975
13965,1362,15327
15166,98,15264
14254,1362,15616
15455,102,15557
14543,1362,15905
15744,98,15842
14832,1362,16194
14832,276,15108
16033,98,16131
15121,1362,16483
16322,98,16420
15410,1362,16772
15410,276,15686
15410,276,15686
16611,98,16709
15699,1362,17061
16900,98,16998
15988,1362,17350
15988,272,16260
17189,98,17287
