prompt_tokens,completion_tokens,total_tokens
958,462,1420
1222,92,1314
958,462,1420
1222,98,1320
958,462,1420
1222,98,1320
958,462,1420
1222,98,1320
958,462,1420
1222,98,1320
958,462,1420
1222,98,1320
958,462,1420
958,462,1420
958,462,1420
1222,98,1320
1222,98,1320
1222,98,1320
958,462,1420
1222,102,1324
1394,462,1856
1394,96,1490
1658,102,1760
1394,462,1856
1658,98,1756
1394,462,1856
1658,98,1756
1394,462,1856
1658,98,1756
1394,462,1856
1658,98,1756
1394,462,1856
1394,462,1856
1394,462,1856
1394,96,1490
1394,462,1856
1394,462,1856
1658,98,1756
1658,98,1756
1658,98,1756
1658,98,1756
1658,98,1756
1830,462,2292
2094,98,2192
1830,462,2292
2094,98,2192
1830,462,2292
2094,98,2192
1830,462,2292
1830,280,2110
1830,96,1926
2094,98,2192
1830,462,2292
2094,98,2192
1830,462,2292
1830,462,2292
1830,462,2292
1830,462,2292
2094,102,2196
1830,189,2019
2094,98,2192
1830,462,2292
2094,98,2192
2094,98,2192
2094,98,2192
2266,462,2728
2530,102,2632
2266,462,2728
2530,98,2628
2266,462,2728
2530,102,2632
2266,462,2728
2530,102,2632
2266,462,2728
2530,98,2628
2266,462,2728
2266,462,2728
2266,462,2728
2530,98,2628
2530,98,2628
2530,98,2628
2266,462,2728
2266,462,2728
2530,102,2632
2530,98,2628
2702,462,3164
2966,102,3068
2702,462,3164
2966,102,3068
2702,462,3164
2702,189,2891
2966,98,3064
2702,462,3164
2966,102,3068
2702,462,3164
2702,96,2798
2966,98,3064
2702,462,3164
2702,462,3164
2702,92,2794
2702,462,3164
2702,462,3164
2966,98,3064
2966,102,3068
2702,189,2891
2702,189,2891
2966,98,3064
2966,102,3068
2702,462,3164
2702,96,2798
2966,102,3068
3138,462,3600
3138,280,3418
3402,102,3504
3138,462,3600
3138,189,3327
3402,102,3504
3138,462,3600
3402,98,3500
3138,462,3600
3138,92,3230
3402,102,3504
3138,462,3600
3402,102,3504
3138,462,3600
3138,462,3600
3138,462,3600
3138,462,3600
3402,98,3500
3138,96,3234
3402,102,3504
3138,462,3600
3402,98,3500
3138,96,3234
3402,102,3504
3402,98,3500
3574,462,4036
3838,98,3936
3574,462,4036
3574,189,3763
3838,98,3936
3574,462,4036
3574,189,3763
3838,102,3940
3574,462,4036
3838,98,3936
3574,462,4036
3838,98,3936
3574,462,4036
3574,462,4036
3574,462,4036
3574,462,4036
3574,96,3670
3574,96,3670
3574,462,4036
3574,96,3670
3574,189,3763
3838,102,3940
3838,98,3936
3838,98,3936
3838,98,3936
3838,98,3936
4010,462,4472
4274,98,4372
4010,462,4472
4274,98,4372
4010,462,4472
4274,98,4372
4010,462,4472
4010,96,4106
4274,98,4372
4010,462,4472
4274,98,4372
4010,462,4472
4010,462,4472
4010,462,4472
4010,462,4472
4274,102,4376
4010,462,4472
4274,98,4372
4274,102,4376
4010,96,4106
4274,98,4372
4010,280,4290
4274,102,4376
4446,462,4908
4710,98,4808
4446,462,4908
4710,98,4808
4446,462,4908
4446,371,4817
4710,102,4812
4446,462,4908
4446,189,4635
4710,102,4812
4446,462,4908
4446,96,4542
4710,102,4812
4446,462,4908
4446,462,4908
4446,462,4908
4446,462,4908
4446,462,4908
4710,102,4812
4710,102,4812
4446,96,4542
4446,189,4635
4710,102,4812
4446,96,4542
4710,102,4812
4710,102,4812
4882,462,5344
5146,98,5244
4882,462,5344
5146,102,5248
4882,462,5344
5146,98,5244
4882,462,5344
4882,189,5071
5146,102,5248
4882,462,5344
4882,189,5071
4882,189,5071
5146,98,5244
4882,462,5344
4882,462,5344
4882,462,5344
4882,462,5344
4882,462,5344
5146,98,5244
4882,189,5071
